Season,G,Team,Name,Date,Opp,OPts,DPts,Opp_Name,ORtg,DRtg,Pace,Location,Win
2022,1,ATL,Hawks,2021-10-21,DAL,113,87,Mavericks,109.9,84.6,102.9,Home,1
2022,2,ATL,Hawks,2021-10-23,CLE,95,101,Cavaliers,99.3,105.6,95.7,Away,0
2022,3,ATL,Hawks,2021-10-25,DET,122,104,Pistons,121.3,103.4,100.6,Home,1
2022,4,ATL,Hawks,2021-10-27,NOP,102,99,Pelicans,109.6,106.4,93.0,Away,1
2022,5,ATL,Hawks,2021-10-28,WAS,111,122,Wizards,110.2,121.1,100.7,Away,0
2022,6,ATL,Hawks,2021-10-30,PHI,94,122,76ers,95.6,124.1,98.3,Away,0
2022,7,ATL,Hawks,2021-11-01,WAS,118,111,Wizards,126.3,118.8,93.4,Home,1
2022,8,ATL,Hawks,2021-11-03,BRK,108,117,Nets,107.4,116.3,100.6,Away,0
2022,9,ATL,Hawks,2021-11-04,UTA,98,116,Jazz,101.6,120.2,96.5,Home,0
2022,10,ATL,Hawks,2021-11-06,PHO,117,121,Suns,114.2,118.1,102.4,Away,0
2022,11,ATL,Hawks,2021-11-08,GSW,113,127,Warriors,108.4,121.8,104.3,Away,0
2022,12,ATL,Hawks,2021-11-09,UTA,98,110,Jazz,104.8,117.7,93.5,Away,0
2022,13,ATL,Hawks,2021-11-12,DEN,96,105,Nuggets,102.0,111.6,94.1,Away,0
2022,14,ATL,Hawks,2021-11-14,MIL,120,100,Bucks,124.9,104.1,96.1,Home,1
2022,15,ATL,Hawks,2021-11-15,ORL,129,111,Magic,127.6,109.8,101.1,Home,1
2022,16,ATL,Hawks,2021-11-17,BOS,110,99,Celtics,117.8,106.0,93.4,Home,1
2022,17,ATL,Hawks,2021-11-20,CHO,115,105,Hornets,121.0,110.5,95.0,Home,1
2022,18,ATL,Hawks,2021-11-22,OKC,113,101,Thunder,121.7,108.8,92.9,Home,1
2022,19,ATL,Hawks,2021-11-24,SAS,124,106,Spurs,126.1,107.8,98.4,Away,1
