Season,G,Team,Name,Date,Opp,OPts,DPts,Opp_Name,ORtg,DRtg,Pace,Location,Win
2022,26,CLE,Cavaliers,2021-12-08,CHI,115,92,Bulls,120.1,96.0,95.8,Home,1
2022,27,CLE,Cavaliers,2021-12-10,MIN,123,106,Timberwolves,118.7,102.3,103.6,Away,1
2022,28,CLE,Cavaliers,2021-12-11,SAC,117,103,Kings,110.4,97.2,106.0,Home,1
2022,29,CLE,Cavaliers,2021-12-13,MIA,105,94,Heat,116.8,104.6,89.9,Home,1
2022,30,CLE,Cavaliers,2021-12-15,HOU,124,89,Rockets,128.7,92.3,96.4,Home,1
2022,31,CLE,Cavaliers,2021-12-18,MIL,119,90,Bucks,123.2,93.2,96.6,Away,1
2022,32,CLE,Cavaliers,2021-12-22,BOS,101,111,Celtics,101.7,111.8,99.3,Away,0
2022,33,CLE,Cavaliers,2021-12-26,TOR,144,99,Raptors,134.4,92.4,107.2,Home,1
2022,34,CLE,Cavaliers,2021-12-28,NOP,104,108,Pelicans,113.9,118.3,91.3,Away,0
2022,35,CLE,Cavaliers,2021-12-30,WAS,93,110,Wizards,98.7,116.8,94.2,Away,0
2022,36,CLE,Cavaliers,2021-12-31,ATL,118,121,Hawks,126.7,129.9,93.2,Home,0
2022,37,CLE,Cavaliers,2022-01-02,IND,108,104,Pacers,116.4,112.1,92.8,Home,1
2022,38,CLE,Cavaliers,2022-01-04,MEM,106,110,Grizzlies,111.9,116.1,94.8,Home,0
2022,39,CLE,Cavaliers,2022-01-07,POR,114,101,Trail Blazers,124.2,110.0,91.8,Away,1
2022,40,CLE,Cavaliers,2022-01-09,GSW,82,96,Warriors,90.3,105.7,90.8,Away,0
2022,41,CLE,Cavaliers,2022-01-10,SAC,109,108,Kings,117.2,116.1,93.0,Away,1
2022,42,CLE,Cavaliers,2022-01-12,UTA,111,91,Jazz,120.4,98.7,92.2,Away,1
2022,43,CLE,Cavaliers,2022-01-14,SAS,114,109,Spurs,113.5,108.6,100.4,Away,1
2022,44,CLE,Cavaliers,2022-01-15,OKC,107,102,Thunder,117.8,112.3,90.8,Away,1
2022,45,CLE,Cavaliers,2022-01-17,BRK,114,107,Nets,120.0,112.6,95.0,Home,1
2022,46,CLE,Cavaliers,2022-01-19,CHI,104,117,Bulls,112.6,126.7,92.4,Away,0
2022,47,CLE,Cavaliers,2022-01-22,OKC,94,87,Thunder,98.2,90.8,95.8,Home,1
2022,48,CLE,Cavaliers,2022-01-24,NYK,95,93,Knicks,101.6,99.5,93.5,Home,1
2022,49,CLE,Cavaliers,2022-01-26,MIL,115,99,Bucks,123.3,106.2,93.2,Home,1
2022,50,CLE,Cavaliers,2022-01-30,DET,105,115,Pistons,115.7,126.7,90.8,Away,0
2022,51,CLE,Cavaliers,2022-01-31,NOP,93,90,Pelicans,105.0,101.6,88.5,Home,1
2022,52,CLE,Cavaliers,2022-02-02,HOU,104,115,Rockets,107.0,118.3,97.2,Away,0
2022,53,CLE,Cavaliers,2022-02-04,CHO,102,101,Hornets,109.0,107.9,93.6,Away,1
2022,54,CLE,Cavaliers,2022-02-06,IND,98,85,Pacers,108.0,93.7,90.7,Home,1
2022,55,CLE,Cavaliers,2022-02-09,SAS,105,92,Spurs,109.2,95.7,96.1,Home,1
2022,56,CLE,Cavaliers,2022-02-11,IND,120,113,Pacers,119.1,112.2,100.7,Away,1
2022,57,CLE,Cavaliers,2022-02-12,PHI,93,103,76ers,102.8,113.8,90.5,Away,0
2022,58,CLE,Cavaliers,2022-02-15,ATL,116,124,Hawks,126.4,135.1,91.8,Away,0
2022,59,CLE,Cavaliers,2022-02-24,DET,103,106,Pistons,110.4,113.6,93.3,Away,0
2022,60,CLE,Cavaliers,2022-02-26,WAS,92,86,Wizards,99.9,93.4,92.1,Home,1
2022,61,CLE,Cavaliers,2022-02-28,MIN,122,127,Timberwolves,126.0,131.2,96.8,Home,0
2022,62,CLE,Cavaliers,2022-03-02,CHO,98,119,Hornets,102.6,124.6,95.5,Home,0
2022,63,CLE,Cavaliers,2022-03-04,PHI,119,125,76ers,126.5,132.8,94.1,Away,0
2022,64,CLE,Cavaliers,2022-03-06,TOR,104,96,Raptors,108.6,100.2,95.8,Home,1
2022,65,CLE,Cavaliers,2022-03-08,IND,127,124,Pacers,129.4,126.4,98.1,Away,1
2022,66,CLE,Cavaliers,2022-03-11,MIA,105,117,Heat,107.2,119.4,98.0,Away,0
2022,67,CLE,Cavaliers,2022-03-12,CHI,91,101,Bulls,92.5,102.6,98.4,Away,0
2022,68,CLE,Cavaliers,2022-03-14,LAC,120,111,Clippers,122.0,112.8,89.1,Home,1
2022,69,CLE,Cavaliers,2022-03-16,PHI,114,118,76ers,122.1,126.4,93.4,Home,0
2022,70,CLE,Cavaliers,2022-03-18,DEN,119,116,Nuggets,115.7,112.8,93.1,Home,1
2022,71,CLE,Cavaliers,2022-03-19,DET,113,109,Pistons,116.6,112.5,96.9,Home,1
2022,72,CLE,Cavaliers,2022-03-21,LAL,120,131,Lakers,123.0,134.3,97.6,Home,0
2022,73,CLE,Cavaliers,2022-03-24,TOR,104,117,Raptors,117.0,131.6,88.9,Away,0
2022,74,CLE,Cavaliers,2022-03-26,CHI,94,98,Bulls,104.3,108.7,90.1,Home,0
2022,75,CLE,Cavaliers,2022-03-28,ORL,107,101,Magic,107.8,101.7,99.3,Home,1
2022,76,CLE,Cavaliers,2022-03-30,DAL,112,120,Mavericks,118.5,127.0,94.5,Home,0
2022,77,CLE,Cavaliers,2022-03-31,ATL,107,131,Hawks,109.2,133.7,98.0,Away,0
2022,78,CLE,Cavaliers,2022-04-02,NYK,119,101,Knicks,129.2,109.6,92.1,Away,1
